topic_id,word,clue_tight,clue_standard,clue_loose,difficulty,region
anime,Ranma,binata na nagiging babae kapag nabasa ng malamig,lumang palabas na nakakatawa,isang palabas noon,4,national
anime,Kimi ni Todoke,tungkol sa babaeng inaakalang multo,palabas tungkol sa pag-ibig,isang palabas,4,national
anime,Nihongo,wikang ginagamit sa orihinal na palabas,wika ng bansang pinanggalingan,isang wika,3,national
anime,Subtitle,nasa ibaba ng screen para maintindihan,binabasa habang nanonood,isang bagay sa panonood,2,national
anime,Dubbed,kapag Tagalog na ang salita ng karakter,kapag pinalitan ang boses,isang paraan ng panonood,2,national
anime,Opening,kanta sa umpisa ng bawat episode,parte na kinakanta sa simula,isang parte ng palabas,2,national
anime,Filler,episode na walang kinalaman sa kwento,parte na pwedeng laktawan,isang parte ng palabas,3,national
anime,Cosplay,pagsusuot ng damit ng karakter,pagbibihis bilang ibang tao,isang libangan,2,national
anime,Manga,libro na binabasa mula kanan pakaliwa,binabasa bago pa ipalabas,isang babasahin,2,national
anime,Otaku,taong sobrang hilig sa palabas na Hapon,tao na mahilig sa palabas,isang tao,3,national
anime,Waifu,paboritong karakter na babae na inaangkin,paboritong karakter,isang bagay sa fandom,3,national
anime,Yugatha,tanghali ng Sabado noon sa telebisyon,oras ng panonood ng bata noon,isang oras ng araw,4,national
